groupID	cellType	UMAP1	UMAP2	Pseudotime	color	MyeloidProbs	ErythroidProbs	BLymphoidProbs	TLymphoidProbs
165	NK	2.32267554969902	-9.98920021773481	0.997606748562724	#492264	0	0	0	0.999353508974726
166	NaiveB	2.84171732635612	10.8262857365499	0.875500852118517	#A896C8	0	0	0.99521885541528	0
167	NaiveB	4.87672265739555	11.4039606022725	0.87327618476164	#A896C8	0	0	0.995023484665107	0
168	CMP	-1.52203325061684	0.334829823959832	0.0222089705754105	#46A147	0.40357169983677	0.378916661664796	0.211023423716683	0
169	MemoryB	4.26362355918999	8.42676104782916	0.858180395423844	#B280B9	0	0	0.984969822543007	0.0149977300835937
170	early-Ery	-7.73854128150825	-8.10425434828901	0.834824208527153	#CC1F39	0	0.999999999999691	0	0
171	GMP	-10.7487107875813	1.44098486183978	0.347158957671338	#FAA31B	0.99810835944164	0	0	0
172	NaiveB	4.48106464119072	11.7177204060445	0.878685349827106	#A896C8	0	0	0.995648835123074	0
173	CD14mono	-8.7397967937458	2.43603839157916	0.365433957815733	#F28238	0.997805489059263	0	0	0
174	NaiveB	4.21654065818901	9.95592440842486	0.875349498378174	#A896C8	0	0	0.994749937284755	0
175	CD16mono	-8.60879722862129	4.20446004151202	0.368528871214674	#F26625	0.99923431239561	0	0	0
176	CD8	5.15131887168999	-2.26858709574842	0.982278135597366	#1481C4	0	0	0	0.998730497379005
177	MemoryB	4.0751479503643	8.81656779526568	0.865091138748224	#B280B9	0	0	0.991059446337947	0
178	CD16mono	-9.33215538291817	6.09813966034747	0.364235249636378	#F26625	0.999103450714201	0	0	0
179	CD4	7.54544862480278	1.43248404740191	0.975807431067768	#005F9F	0	0	0	0.99837906241393
180	CD4	6.86955817909355	1.2539842295537	0.971331880548045	#005F9F	0	0	0	0.99784774252944
181	CD4	5.66916211814995	0.292112009514336	0.96659920969756	#005F9F	0	0	0	0.997378062992048
182	CD14mono	-9.85392586021309	-0.476570008408065	0.399301664104513	#F28238	0.99989044857698	0	0	0
183	CD8	2.8466597435009	-4.78267346144819	0.977605551197629	#1481C4	0	0	0	0.998528132511283
184	late-Ery	-7.34811035423164	-11.9132734370341	0.909477344015647	#901838	0	0.999999999999777	0	0
185	CD14mono	-8.71109310417061	2.0591052937398	0.390133982522799	#F28238	0.999840208128614	0	0	0
186	CD4	6.18334039421196	0.835478799332147	0.974771078701018	#005F9F	0	0	0	0.998258845781693
187	pDC	-2.98202220229988	5.35607804535723	0.19262250767876	#854199	0.975713193433826	0.0113970141644629	0.0101013174163411	0
188	CD14mono	-11.1125194194782	0.527017431248193	0.386726649675258	#F28238	0.999811409391535	0	0	0
189	NK	3.30427654953117	-8.49541817427778	0.997337990947245	#492264	0	0	0	0.999341562544005
190	GMP	-5.28214136390572	3.38280929802752	0.224905164221144	#FAA31B	0.993396766351093	0	0	0
191	pDC	-2.55582276611214	5.13208951233721	0.189129322401428	#854199	0.975713191767842	0.0113970151499624	0.0101013180839239	0
192	early-Ery	-4.57525221137886	-5.61363087416791	0.642371602288862	#CC1F39	0	0.999999999994816	0	0
193	CD4	9.15103038520927	1.13355244873858	0.979154152950431	#005F9F	0	0	0	0.998500037831272
194	CD4	7.11186059684868	1.54397548912859	0.971971595083336	#005F9F	0	0	0	0.997917198246032
195	NaiveB	2.97970136375542	10.5154594349752	0.875574317906412	#A896C8	0	0	0.995259245572249	0
196	NK	3.92877849311943	-6.46292219878339	0.992072637257464	#492264	0	0	0	0.999177402802259
197	late-Ery	-8.03346792487984	-10.4838701319804	0.902279646886758	#901838	0	0.999999999999794	0	0
198	CD4	5.70635064811821	0.378600554455285	0.975450193890045	#005F9F	0	0	0	0.99832774937166
199	CD8	4.46572574348564	-3.57045994521284	0.9853151596425	#1481C4	0	0	0	0.998874639778704
200	CD4	8.18039687843437	0.438351051796441	0.979281384392124	#005F9F	0	0	0	0.998511260117849
201	early-Ery	-4.72093549995308	-5.30884752989912	0.614066739734317	#CC1F39	0	0.999999999974028	0	0
